Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
8,"University of California, Los Angeles",加利福尼亚大学洛杉矶分校,USA,"Communication Science；
Computer Models of Communicators；
Computer-Mediated Communication；
Introduction to Data Science；
Artificial Intelligence and New Media；
Artificial Intelligence and Society；",MA in Communication,N/A,N/A,"https://www.ucla.edu/academics/programs-and-majors
https://comm.ucla.edu/undergraduate/courses/",,,,,,,,,,,,,,,,,,,,,
9,University of Pennsylvania,宾夕法尼亚大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
10,UCL,伦敦大学学院,UK,N/A,Social Sciences BSc,N/A,N/A,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-bsc#tab3-year3,,,,,,,,,,,,,,,,,,,,,
11,Columbia University,哥伦比亚大学,USA,"Artificial Intelligence
Analysis of Algorithms
Advanced Software Engineering",M.S. in Journalism & Computer Science,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
12,University of Amsterdam,阿姆斯特丹大学,"
Netherlands",Analysing Digital Culture,BA Media and Information,E.K. (Erik) Borra MSc,MSc in artificial intelligence and information retrieval,https://studiegids.uva.nl/xmlpages/page/2021-2022-en/search-course,,,,,,,,,,,,,,,,,,,,,
13,National University of Singapore,新加坡国立大学,Singapore,N/A,"Communications, New Media and Society",Major in Communications and New Media,N/A,https://www.nus.edu.sg/oam/undergraduate-programmes,,,,,,,,,,,,,,,,,,,,,
14,University of Washington,华盛顿大学,USA,"Designing Internet Research
Theories of Technology and Society
Computer-Mediated Communication",M.A. in Communication,"
1.Kirsten Foot
2.Carmen Gonzalez
3.Benjamin Mako Hill
4.Yuan Hsiao
5.Katy Pearce
6.Matthew Powers
7.Adrienne Russell","1)Ph.D., University of California, San Diego, 1999
2)Ph.D., Communication, Annenberg School for Communication and Journalism, University of Southern California, 2013
3)Ph.D., MIT in the Sloan School of Management and the Media Lab, 2013
4)Ph.D., Sociology, University of Washington, 2021
M.S., Statistics, University of Washington, 2021
5)Ph.D., Communication, University of California, Santa Barbara, 2011
M.A., International Studies, University of London School for Oriental and African Studies, 2006
B.A., Armenian, Arabic, Persian, Turkish, & Islamic Studies; American Culture, University of Michigan, 2001
6)Ph.D. in Media, Culture and Communication, New York University, 2013
7)Ph.D., Journalism and Mass Communication, Indiana University Bloomington, 2001.
M.S., Media Studies, Stanford University, 1995.
B.A., World Literature and Cultural Studies, University of California Santa Cruz, 1993.",https://com.uw.edu/graduate/ma-phd/areas-of-study/,,,,,,,,,,,,,,,,,,,,,
15,Cornell University,康奈尔大学,USA,Human-robot and human-agent interaction,Communication（Technology & Social Media）,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
16,Tsinghua University,清华大学,China,N/A,N/A,N/A,N/A,https://www.tsinghua.edu.cn/jyjx/bksjy/bkzy.htm,,,,,,,,,,,,,,,,,,,,,
17,Peking University,北京大学,China,"Data journalism (explain how to get data, how to identify data, how to clean data; and practice with students to learn to create charts, geographic information maps, and social network maps based on data from two perspectives: description of data and analysis of data; and finally, based on understanding and analyzing data)",N/A,N/A,N/A,http://www.dean.pku.edu.cn/service/web/courseSearch.php,,,,,,,,,,,,,,,,,,,,,
18,Duke University,杜克大学,USA,No,N/A,N/A,N/A,https://admissions.duke.edu/academic-possibilities/,,,,,,,,,,,,,,,,,,,,,
19,New York University,纽约大学,USA,Introduction to Programming,Journalism,Jay Rosen,,https://journalism.nyu.edu/graduate/programs/studio-20-digital-first/,,,,,,,,,,,,,,,,,,,,,
20,University of Toronto,多伦多大学,Canada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
21,Utrecht University,乌特勒支大学,Netherlands,N/A,N/A,N/A,N/A,https://www.uu.nl/en/masters/masters-programmes?f%5B0%5D=masters_area_interest%3A52132,,,,,,,,,,,,,,,,,,,,,
22,Northwestern University,西北大学（埃文斯顿）,USA,Human-computer interaction,"Media, Technology, and Society (MTS) ",Jeremy Birnholtz, human-computer interaction issues,https://mts.northwestern.edu/,,,,,,,,,,,,,,,,,,,,,
23,University of North Carolina at Chapel Hill,北卡罗来纳大学教堂山分校,USA,N/A,"Media and Journalism Major, B.A.",N/A,N/A,https://catalog.unc.edu/undergraduate/programs-study/media-journalism-major-ba/#otherprogramstext,,,,,,,,,,,,,,,,,,,,,
24,University of Wisconsin-Madison,威斯康星大学麦迪逊分校,USA,COMPUTATIONAL APPROACHES TO COMMUNICATION RESEARCH,M.A. in JOURNALISM AND MASS COMMUNICATION,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
25,University of Manchester,曼彻斯特大学,UK,N/A,N/A,N/A,N/A,https://www.manchester.ac.uk/study/postgraduate-research/programmes/list/,,,,,,,,,,,,,,,,,,,,,
26,University of British Columbia,不列颠哥伦比亚大学,Canada,N/A,Journalism,N/A,N/A,https://you.ubc.ca/ubc_programs/journalism/,,,,,,,,,,,,,,,,,,,,,
27,Australian National University,澳洲国立大学,Australia,N/A,N/A,N/A,N/A,https://programsandcourses.anu.edu.au/catalogue,,,,,,,,,,,,,,,,,,,,,
28,University of Texas at Austin,得克萨斯大学奥斯汀分校,USA,Computational Media and Data Science,M.A. in Journalism and Media,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
29,Free University of Berlin,自由柏林大学,Germany,N/A,Journalistikkens genrer og målgrupper i det digitale medielandskab,N/A,N/A,https://kursuskatalog.au.dk/da/course/119037/Journalistikkens-genrer-og-maalgrupper-i-det-digitale-medielandskab,,,,,,,,,,,,,,,,,,,,,
30,University of Mannheim,曼海姆大学,Germany,"N/A（There is no cross major of media and AI, but there is a cross major of media and business",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
31,University of Hong Kong,香港大学, China ,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
32,University of Melbourne,墨尔本大学, Australia,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
33,University of Vienna,维也纳大学,Austria,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
34,McGill University,（加拿大）麦吉尔大学,Canada,N/A(A very hardcore traditional communication course,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
35,University of Southern California,南加州大学,USA, Principles of Programming for Data Science 、Data Science at Scale,Science in Communication Data Science,EmilioFerrara,"Computation and Informatics, Data and Coding, Digital Media, Gaming, Groups, Organizations and Networks, Health, Politics, Science, Social Media, Technology and Innovation，artificial intelligence and computational social science",https://annenberg.usc.edu/communication/communication-data-science-ms/curriculum,,,,,,,,,,,,,,,,,,,,,
36,King’s College London,伦敦国王学院,UK,"Digital Methods II – Working with Data
introduction to Programming
Digital Journalism","BA in Digital Media and Culture
(Program introduction：Insight into how individuals, companies, governments, and other institutions are being transformed by social media, machine learning, artificial intelligence, digital management techniques and practices, data journalism, digital advertising, analytics, visualisations, and more.)

",Gregory Asmolov,"BA, Communication and International Affairs, the Hebrew University of Jerusalem (2007)
MA, Global Communication, George Washington University (2010)
Ph.D., the Media and Communications Department, the London School of Economics and Political Science (LSE)(2016)","course
https://www.kcl.ac.uk/study/undergraduate/courses/digital-media-culture-ba

teacher
https://www.kcl.ac.uk/people/gregory-asmolov",,,,,,,,,,,,,,,,,,,,,
37,"University of California, San Diego",加利福尼亚大学圣迭戈分校,USA,"Qualitative Analysis of Information Systems
Data and Culture
Data, Science, and Society","BA in Communication
MA in Communication","Lillian Walkover

R. Stuart Geiger","1）
BA, Science in Society Program (honors) and Molecular Biology & Biochemistry, Wesleyan University
Ph.D., Sociology, University of California, San Francisco

2)
BA, the Humanities program, the University of Texas at Austin
MA, the Communication, Culture, and Technology program, Georgetown University,
Ph.D., UC-Berkeley School of Information","https://catalog.ucsd.edu/courses/COMM.html
https://communication.ucsd.edu/undergrad/courses/2223-Comm-Course-Schedule-WEB.pdf
https://stuartgeiger.com/",,,,,,,,,,,,,,,,,,,,,
38,Humboldt University of Berlin,柏林洪堡大学,Germany,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
39,Aarhus University,奥胡斯大学,Denmark,N/A,JOURNALISTIK (CAND.PUBLIC.),N/A,N/A,https://kursuskatalog.au.dk/da/electivegroups/144222G025?year=2022-2023,,,,,,,,,,,,,,,,,,,,,
40,University of Groningen,格罗宁根大学,Netherlands,"Statistical Analysis with R
Analyzing Social Media Data 
Data for Society: Civic Media
Communication Technology
Computer-Mediated Communication
Coding for Humanities
Database Design","MA in Media Studies(分支：Datafication and Digital Literacy, Journalism, Media Creation and Innovation, Social Media and Society)
MA in Communication & Information Studies(分支Communication, Computer-mediated Communication, Digital Humanities)","1)M.J. (Marcel) Broersma
2)H.B.M. (Huub) Wijfjes","1) M.A. in History and Journalism
Ph.D. the University of Groningen (2002; cum laude)

2)University of Utrecht doctoranduseastern european historydoctorandus","https://www.rug.nl/masters/language-communication

https://www.rug.nl/let/onze-faculteit/organisatie/vakgebieden/journalistiek-en-media-studies/employees
",,,,,,,,,,,,,,,,,,,,,
41,KU Leuven,鲁汶大学（佛兰德语）,Belgium,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
42,University of Illinois at Urbana-Champaign,伊利诺伊大学厄巴纳-香槟分校,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
43,Arizona State University (Tempe),亚利桑那州立大学坦佩校园,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
44,Wageningen University & Research,瓦赫宁恩大学暨研究中心,Netherlands,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
45,Nanyang Technological University,南洋理工大学,singapore,Intelligent Information Retrieval \ Advanced Quantitative Research Methods in Communication and Information  , Master of Communication Studies (Research) | Communication,Andrea Nanetti\ Arul Indrasen Chib,"computer operating systems with graphical user interfaces\.  digital media (mobile, online, and social)",https://www.ntu.edu.sg/education/graduate-programme/master-of-communication-studies#additionaiInformation,,,,,,,,,,,,,,,,,,,,,
46,The Ohio State University,俄亥俄州立大学,USA,Data Journalism in Enterprise Reporting,School of communication,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
47,The Ohio State University,俄亥俄州立大学,USA,Data Journalism in Enterprise Reporting,School of communication,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
48,The University of Tokyo,东京大学,Japan,N/A,ジャーナリズム研究,N/A,N/A,https://catalog.he.u-tokyo.ac.jp/detail?code=4914060&year=2023,,,,,,,,,,,,,,,,,,,,,
49,University of Zurich,苏黎世大学,Germany,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
50,Indiana University,印第安纳大学,USA,N/A,Bachelor of Arts in Journalism,N/A,N/A,https://bulletins.iu.edu/iu/gradschool/2022-2023/programs/bloomington/media-arts-and-sciences/index.shtml,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
