2023 Times Higher Education World University Rankings,,,
Rank,Univercity,Region,Course
1,Massachusetts Institute of Technology,USA,0
2,Stanford University,USA,1
3,University of Oxford,USA,1
4,Harvard University,USA,0
5,"University of California, Berkeley",USA,1
6,London School of Economics and Political Science,UK,1
7,University of Michigan-Ann Arbor,USA,0
8,"University of California, Los Angeles",USA,2
9,University of Pennsylvania,USA,0
10,UCL,UK,0
11,Columbia University,USA,2
12,University of Amsterdam,Netherlands,1
13,National University of Singapore,Singapore,0
14,University of Washington,USA,1
15,Cornell University,USA,1
16,Tsinghua University,China,1
17,Peking University,China,1
18,Duke University,USA,0
19,New York University,USA,1
20,University of Toronto,Canada,0
21,Utrecht University,Netherlands,0
22,Northwestern University,USA,1
23,University of North Carolina at Chapel Hill,USA,0
24,University of Wisconsin-Madison,USA,1
25,University of Manchester,UK,0
26,University of British Columbia,Canada,0
27,Australian National University,Australia,0
28,University of Texas at Austin,USA,1
29,Free University of Berlin,Germany,0
30,University of Mannheim,Germany,0
31,University of Hong Kong,China,0
32,University of Melbourne,Australia,0
33,University of Vienna,Austria,0
34,McGill University,Canada,0
35,University of Southern California,USA,1
36,Kingâ€™s College London,UK,1
37,"University of California, San Diego",USA,1
38,Humboldt University of Berlin,Germany,0
39,Aarhus University,Denmark,0
40,University of Groningen,Netherlands,2
41,KU Leuven,Belgium,0
42,University of Illinois at Urbana-Champaign,USA,0
43,Arizona State University (Tempe),USA,0
44,Wageningen University & Research,Netherlands,0
45,Nanyang Technological University,singapore,1
46,The Ohio State University,USA,1
47,The Ohio State University,USA,1
48,The University of Tokyo,Japan,0
49,University of Zurich,Switzerland,0
50,Indiana University,USA,0
